BLOQUE;NOMBRE;MATERIAL;COLOR;CAPACIDAD;X;Y
SILLA_V2;Silla;Metal;Azul;1;7800;4520
SILLA_V2;Silla;Metal;Azul;1;7800;5180
SILLA_V2;Silla;Metal;Azul;1;7800;5840
SILLA_V2;Silla;Metal;Azul;1;7800;6500
MESA;Mesa;Madera;Gris;4;6020;4400
MESA;Mesa;Madera;Gris;4;6020;5800
SILLA_V2;Silla;Metal;Azul;1;5400;4970
SILLA_V2;Silla;Metal;Azul;1;5400;5630
SILLA_V2;Silla;Metal;Azul;1;5400;6290
SILLA_V2;Silla;Metal;Azul;1;5400;6950
SILLA_V2;Silla;Metal;Azul;1;5200;3200
SILLA_V2;Silla;Metal;Azul;1;5200;3860
SILLA_V2;Silla;Metal;Azul;1;5200;4520
SILLA_V2;Silla;Metal;Azul;1;5200;5180
SILLA_V2;Silla;Metal;Azul;1;5200;5840
SILLA_V2;Silla;Metal;Azul;1;5200;6500
MESA;Mesa;Madera;Gris;4;3420;3000
MESA;Mesa;Madera;Gris;4;3420;4400
MESA;Mesa;Madera;Gris;4;3420;5800
SILLA_V2;Silla;Metal;Azul;1;2850;3650
SILLA_V2;Silla;Metal;Azul;1;2850;4310
SILLA_V2;Silla;Metal;Azul;1;2850;4970
SILLA_V2;Silla;Metal;Azul;1;2850;5630
SILLA_V2;Silla;Metal;Azul;1;2850;6290
SILLA_V2;Silla;Metal;Azul;1;2850;6950
SILLA_V2;Silla;Metal;Azul;1;2720;3200
SILLA_V2;Silla;Metal;Azul;1;2720;3860
SILLA_V2;Silla;Metal;Azul;1;2720;4520
SILLA_V2;Silla;Metal;Azul;1;2720;5180
SILLA_V2;Silla;Metal;Azul;1;2720;5840
SILLA_V2;Silla;Metal;Azul;1;2720;6500
MESA;Mesa;Madera;Gris;4;950;3000
MESA;Mesa;Madera;Gris;4;950;4400
MESA;Mesa;Madera;Gris;4;950;5800
SILLA_V2;Silla;Metal;Azul;1;400;3650
SILLA_V2;Silla;Metal;Azul;1;400;4310
SILLA_V2;Silla;Metal;Azul;1;400;4970
SILLA_V2;Silla;Metal;Azul;1;400;5630
SILLA_V2;Silla;Metal;Azul;1;400;6290
SILLA_V2;Silla;Metal;Azul;1;400;6950
SILLA_V2;Silla;Metal;Cafe;1;410;130
ESCRITORIO;Escritorio;Madera;Cafe;1;140;700
BASE;Contorno;Ladrillo;Blanco;33;0;0
